comment,is_aggressive
Водитель оказался тот же что и пару заказов назад снова ворчал насчёт того что якобы в неудобное место вызвали мол пришлось больший круг делать и в этот раз была очень резкая манера вождения слишком разгонялся на узкой улице и резко поворачивал [SEP]  Также заметил что имя водителя отличается от прошлого заказа но при этом это был один и тот же человек,1
1 [SEP] Номера не совпадал реальный номер был Е655ВО 2 [SEP] Водитель подъехал не на ту точку куда был вызван хотя она объективно удобнее той на которой он встал меньше ехать бы пришлось поэтому прошло много времени ожидания,0
Знал короткий путь и хорошо ориентировался на местности,0
Машина супер и водитель отличный,0
Машина была чистая все отлично,0
водитель уже очень устал [SEP]  нервно и небезопасно [SEP]  во дворах ехал очень быстро заезжал на бордюры,1
Все хорошо,0
Все хорошо,0
Все хорошо,0
Другая Машина,1
Все хорошо,0
Отличный Водитель,0
Все хорошо Водитель Елена что указана в приложение,0
Ночная поездка,0
Отлично,0
Нервный водитель [SEP]  Постоянно жаловался на пробки,0
Хороший водитель,0
Не тот номер автомобиля [SEP]  Водитель [SEP]  Без маски,0
Все Хорошо [SEP]  Приятная поездка,0
Ехал от дома через мрг в виворк тк сдавал тест [SEP]  Завершил поездку пока ждал в мрг меня [SEP]  Но никуда не уехал дождался и довёз,0
Задняя правая пассажирская дверь с порезом вмятиной не критичной но неприятная [SEP]  В машине от печки довольно сильно пахнет горелым [SEP]  Также смутила в конце просьба поставить оценку,1
Из за неправильного номера 5 минут ходил его искал в итоге на платное ожидание попал [SEP]  Говорит что звонил что ему одну букву не так записали но ему ничего не изменили [SEP]  Номер у него н782ое в реальности там не одна буква разницы,0
Водитель 50 времени в дороге говорил по телефону,0
По комфорт плюс приехал водитель бизнеса в футболке и штанах,0
Ездит так что укачало за 2 км поездки [SEP]  Газ в пол тормоз в пол образно,1
Водитель помог поставить и снять детское кресло и вообще к ребенку отнёсся корректно и вежливо,0
Все ок маску в итоге водитель надел [SEP]  Но меня очень укачало,1
Во время движения отвлекался на телефон,0
Случайно нажал что водитель был в маске по факту он был без маски,0
В салоне на коврике разложена газета под ноги,0
Водитель был не пристегнут,0
Номер авто отличается на 1 букву,0
Закончил поездку раньше но спросил затем «Ничего что я раньше закончил поездку [SEP] » Затем успешно довез до точки назначения,0
Порадовало состояние авто и чистота в салоне [SEP]  Приятное общение и комфортная поездка,0
Порадовало настроени водителя и качество поездки,0
Порадовала спокойная манера езды,0
Добрый день [SEP]  В карточке водителя было указано что приедет рено белого цвета но приехала темно синяя машина марки рено с заявленными номерами н925ук750,0
Водитель не нажал статус в пути [SEP]  Начислились платное ожидание  [SEP]  Потом не знал как убрать  [SEP]  В итоге с моей помощью удалил платное ожидание,0
Машина бежевая не белая,0
Очень много говорит  [SEP]  Всю дорогу без умолку [SEP]  От первой секунды всю поездку,0
Очень приятный и вежливый водитель [SEP]  По приезду позвонил на телефон и предупредил что ожидает,0
Спокойная быстрая езда [SEP]  Поздравил с праздником прошедшим,0
Комфортная быстрая езда поспала,0
Номер машины м173ом799,0
Не поздоровался в начале поездки все остальное ок,0
У водителя такая манера вождения что мне в дороге перекреститься захотелось [SEP]  А я крестилась последний раз даже не помню когда [SEP]  Автомобиль наш брендированный [SEP]  Какую нибудь беседу было бы не плохо провести,1
Наша брендированная машина,0
все было очень классно,0
водитель был резковат [SEP]  не любил плавно тормозить и разгоняться,1
укачало,1
отлично,0
Хороший водитель который едет достаточно комфортно не пристает с лишними вопросами Помог с вещами при высадке так как у меня было много тяжелых сумок Я осталась довольна поездкой,0
Ранее написала что машина водителя грязная но это вероятнее всего из за погодных условий так как в салоне чисто и вкусно пахнет Водитель очень вежлив и с приятной манерой вождения,0
Вероятнее всего машина была грязная из за погоды явных повреждений нет,0
Водитель не пользуется навигатором хотел остановить машину в другой месте и высадить меня не там,1
Хороший водитель но машина забрендирована в Яндекс Такси,0
Водитель жаловался что я долго не выхожу хотя еще даже шло бесплтное ожидание [SEP]  При этом более 15 минут я ждала его и не жаловалась [SEP]  Остальное ок,0
Водитель жаловался что Сити заставил его взять этот заказ и как он не хочет ехать в этот район [SEP]  Всю дорогу сетовал что ему невыгодно делать эту поездку и что везёт меня за копейки,1
Хорошая и комфортная поездка,0
Все комфортно,0
На машине обклейка Яндекса,0
В целом ок только при выезде с дублеров на основную резко тормозит в последний момент,1
Машина грязная,1
Смотрел Навального,0
Все ок,0
Все ок,0
Все оу,0
Ок,0
Ок,0
Ок,0
Ок,0
Ок,0
Машина негрязная запах приятный,0
Ок,0
Водитель был не пристегнут ремнём безопасности,0
Случайно нажала не ту кнопку на одном из вопросов [SEP]  Машина грязная убитая водитель без маски [SEP]  Поведение не корректное задавал странные вопросы типа «где работаешь [SEP] » [SEP]  Манера вождения тоже ужасная пытался проехать по пешеходной дороге,1
очень вежливый водитель,0
водитель надел маску после того как я ответила в опросе что водитель без маски [SEP]  всю дорогу он был в ней [SEP]  очень аккуратный и вежливый водитель,0
Водитель с юмором Но мультиапер,0
Всё хорошо,0
Очень вежливый,0
Высадил в удобном месте из за пробок,0
Мат на все,0
Водитель очень дружелюбный,0
Маска спущена,0
Очень приятный водитель,0
Машина в оклейке Яндекса,0
Хороший водитель,0
Хороший водитель поездка была приятная,0
Все супер водитель отличный,0
С эти водителем поездка была хорошая,0
Все ок,0
Прекрасный водитель,0
Потрясающий водитель,0
Прекрасный водитель,0
Все ок этот хороший [SEP]  Жаль пару дней назад ещё не запустились я бы такое об одной поездке рассказал,0
Все ок только затхлый запах слегка,0
Очень хороший мужик все бы так,0
Все ок,0
Угрюмый парень но в целом ничего плохо не делал [SEP]  Машина грязновата,0
Вежливый нормальный все ок,0
Все ок,0
Очень крутой мужик [SEP]  Довёз быстрее навигатора,0
Все ок,0
Слегка затхлый запах [SEP]  Нужен освежитель [SEP]  В остальном все супер,0
Норм водитель угрюмый только слегка,0
Номер машины Т508тв,0
Водитель спрашивал как проехать я ответила что знаю только адрес [SEP]  В остальном все хорошо,0
Водитель не пристегнут,0
Водитель не пристегнут,0
Все отлично,0
Вежливый и молчаливый водитель,0
Все отлично,0
ужасно водит превышает скорость,1
Навигатор в приложении завел нас в другую сторону из за чего пришлось возвращаться назад опоздал на поезд neutral,0
Водитель не подъехал к точке подачи отображалось Машина подана когда он был в 4 минутах от меня [SEP]  Позвонила ему чтоб прояснить в чем дело [SEP]  Говорит стою на мосту тут недалеко тут шлагбаум нужно чтоб я заехал [SEP]   [SEP]  В итоге попросила его заехать но кажется так быть не должно [SEP]  До точки назначения тоже не довёз уточнил нужно ли ему заезжать во дворы хотел дропнуть на остановке на Ленинградке до подъезда в итоге не довёз тк там разворачиваться надо,0
Порадовало что человек работает недавно 2й день город пока знает плохо но водит аккуратно,0
все ок,0
Порадовало что водитель сократил путь через дворы явно хорошо знает район,0
Оч приятный водитель был,0
Пропустил поворот ко мне когда подъезжал в итоге с другого конца дома место подачи оказалось пришлось идти до него,1
Водитель отличный,0
Отличный водитель,0
Газета в салоне,0
Очень странное решение ехать через центр у кремля на ровном месте потеряно минут 40 45 [SEP]  И это на участке метров в 500 600 [SEP]  Как будто водитель не использовал навигатор был выключен,0
Нажала не тот ответ в вопросе про чистоту машину и повреждения Машина чистая была даже слишком для нынешней погоды,0
Технически необслуженный автомобиль,1
Гос номер бы верный под конец поездки водитель одно маску,0
Все ок конфетки в салоне,0
Все хорошо поездка действительно комфортная в салоне чисто [SEP]  Но есть один моментик который бросается в глаза газета на ковриках под ногами [SEP]  Видимо для того чтобы их не пачкать и чтобы растаявший снег впитывался в неё [SEP]  Но чисто визуально выглядит не очень,0
Все понравилось,0
Все хорошо мне понравилось,0
Ввела адрес [SEP]  Попросила проехать по навигатору [SEP]  Повернуть к тц с другой стороны,0
Выслушал негодование что двое водителей отказались проявил эмпатию,0
Очень круто,0
Прекрасная брендированная машина,0
Все ок,0
Есть крупные вмятины водитель очень вежливый,0
Я заплатила наличными 500₽ а мне потом из службы поддержки написали что я не расплатилась с водителем,1
Очень вежливый и плавно водит супер комфортная поездка з,0
Знание города супер,0
Все четко без лишнего,0
За рулём кажется был другой человек он заходил в Сбербанк онлайн и имя отличалось от того что было в профиле матерился из за цены агрессивно вёл машину не пользовался навигатором и делал непонятные изменения в маршруте,1
Хороший водитель,0
2 раза за 5 минут езды чуть не попали в дтп,1
Лучший за всë время поездок citymobil,0
Только запах ощущение что человек долго не принимал душ,0
такси,0
Очень чисто в салоне,0
Лишние разговоры в начале поездки ремень накидывает при виде ДПС,0
Водитель 2 раза привез не туда из за пользования яндекс навигатором поездка была близкая поэтому не страшно но два раза — перебор,0
Водитель ездит плавно и качественно [SEP]  Музыка тоже отличная [SEP]  Вежливость на уровне выше стандарт,0
Все чётко,0
Водитель говорил по телефону во время поездки,0
Такси,0
Прекрасно,0
Все круто водитель приятный но в салоне пахнет сигаретами,0
отличный водитель [SEP]  очень вежливый и спокойный,0
Разговаривал по телефону недолго,0
Хороший спокойный водитель,0
Не туда плдъехал,0
Автомобиль ты обитель были другие,0
Не очень любит навигатор,0
Всю дорогу маска на подбородке,0
не очень комфортно в машине с ручной коробкой передач ездить,0
Хороший водитель,0
Нет оклейки ГОСТ и шашечки,0
Водитель не тот сама машина полностью без оклейки,0
Все хорошо,0
Хороший водитель,0
Надел иаску в итоге,0
После окончания поездки заметил что буквы номера другие,1
Все супер,0
отличный водитель [SEP]  аккуратный вежливый позитивный,0
Хороший очень культурный водитель [SEP]  Поинтересовался какую музыку включить,0
Есть конфетки,0
Хороший и приятный водитель,0
Водитель все время ехал и матерился на других участников движения [SEP] на своём языке и на русском [SEP] от чего складывается не очень хорошее впечатление,0
Очень душевная поездка,0
Водитель в маске молодец,0
Класс выше а накурено,0
Машина другая водитель хороший,0
быстро и комфортно доехали [SEP]  поспала спокойно,0
Водитель очень добрый отзывчивый человек,0
Водитель разговаривал во время поездки,0
Приятный и вежливый водитель,0
Буквы номера отличаются ХУВ вместо СХМ,0
Очень вежливый и учтивый водитель,0
Приятный вежливый водитель,0
Водитель слабослыщащий,0
Вежливый и тактичный водитель [SEP]  даже машину развернул и подал к подъезду стороной где я обычно сажусь,0
Авто не имело повреждений имело загрязнение согласно погоде,0
Очень некомфортно ехать с таким большим количеством рывков и резких торможений,1
Отметил что приехал за 3 дома от точки,0
Очень приятный водитель,0
Отличная машина и водитель,0
Построенный маршрут немного не оптимальный,0
Совпадают только цифры номера 319 буквы и регион были такими «м  [SEP]  ко 77» Нажал «на месте» до того как подъехал к точке назначения [SEP]  Первые минут 10 движения смотрел в телефон делал свои дела в СберБанк Онлайн не спеша ехал из за этого потом стал двигаться быстрее но телефон из рук не убрал,0
Машина дёргается и явно не из за манеры вождения водителя,0
Заднее сиденье за водителем мокрое я промочила одежду,0
Был забрендирован в Яндекс не было фиксатора для ремня безопасности на заднем сидении,0
Оклеен Яндексом,0
Нет признаков такси,0
Нет признаков такси,0
Нет признаков такси,0
Очень комфортная поездка очень приятный водитель,0
Водитель разговаривал всю дорогу по телефону,0
Неверный номер машины [SEP]  Просьба заблокировать,0
Отвлекался на телефон,1
В пути водитель недел маску но не пристегнулся,0
Водитель был неаристкгнут,0
Водитель предложил отменить поездку и проехать за наличку,0
Торопился,0
Оклейка яндекс,0
Все отлично,0
Водитель решил не ехать по навигатору о чём его просили и сделал большой крюк вместо того чтобы поехать напрямую [SEP]  Из за этого получилось опоздание Кроме того водитель был без маски и выбрасывал мусор из окна машины очень не приятно,1
Машина не оклеена,1
нет символики такси на машине,0
Подголовников задних небыло,0
Оклейка яндекс такси,0
Оклейка яндекс такси,0
Плохо следит за дорогой дважды чуть не въехали в машину впереди,1
Водитель болтал половину дороги по громкой связи с другом из разговора я узнала что водитель браконьер [SEP]  everything ok после отказался подвозить к подъезду но я уломала,0
Отличный водитель все четко аккуратно приятная музыка санитайзеры есть в салоне все очень вежливо,0
водитель подрезал другие автомобили,1
Водитель просто огонь [SEP]  В хорошем смысле [SEP]  Очень профессиональный какими то огородами местами ехал но успел куда мне было нужно видно что знает куда и как ехать и приятный в общении,0
Бренд ят,0
Водитель не прекращал болтать по телефону,1
Водитель сообщил что на карантине кашляла и сморкался постоянно давал комментарии на любой светофор,1
Надел маску потом,0
Номер машины был м177ру799,0
Все хорошо,0
болтал по телефону но ехал норм,0
Водитель был не пристегнут машина была ушатана без атрибутики такси [SEP]  Постоянно говорил по телефону,1
Хорошая машина хороший водитель быстро спокойно безопасно [SEP]  Спасибо,0
Отличный водитель,0
Машина «уставшая» очень,0
Отличный водитель [SEP]  Топ,0
Отлично,0
Ошибся машина норм запах норм,0
Отлично,0
Гос номер отличается буквами цифры совпадают,1
Пропустил поворот и ехал задом против движения 50 метров было страшно,1
Очень приятный и вежливый водитель,0
Разбит задний бампер,1
Брендинг яндекса,0
Водитель поехал по заказу который никто не хотел брать типа невыгодно [SEP]  Большое ему за это спасибо,0
Отлично,0
Постоянно превышал скорость,1
Не было омывайки пользовался снегом чтобы очистить лобовое стекло,0
Он чуть раньше завершил заказ я в приложении написала что за 5 минут по факту меньше [SEP]  Не сильно это меня расстроило,0
Очень профессиональный водитель было очень приятно ехать как в бизнесе,0
манера вождения комфортная но ездит быстро и резво,0
Помог положить пакеты в богажник,1
Водитель очень приятный человек,0
Прекрасный водитель,0
ГОСТ номер не тот,0
Внимание [SEP]  Я ошибочно поставил совпадение номера он НЕ СОВПАДАЕТ,0
буквы номера не совпадают были ЕСМ вместо МУХ,0
И,0
Ошибся в ответе номер совпадал,0
Хороший водитель,0
хорошая поездка нареканий нет спокойно ездил,0
Приехал не туда в итоге ждали его с платным ожиданием,0
У машины только короб такси без оклейки,0
Ехал странной долгой дорогой,0
Отличный водитель очень вежливый,0
приятный водитель понравилось что очень переживал из за того что кто то из клиентов до меня оставил ключ в машине,0
Разговоры по телефону,0
Водителя подрезал спереди постоянно один водитель не пропускал [SEP]  Но таксист терпеливо дождался и обогнал его,0
Место подачи 200 метров пришлось идти,1
Водитель надел маску,0
очень быстро доехали т [SEP] к [SEP]  водитель хорошо знаком с маршрутом и знает оптимальный вариант объезда,0
цвет машины был серебристый,0
Водитель очень добрый и классный,0
отличный водитель приятная беседа,0
очень накурено,0
отличается только цвет машины серый вместо белого  [SEP]  А водитель молодец,0
Порадовало что водитель похож на Тамби,0
отличная поездка,0
Все хорошо водитель приятный [SEP]  Машина чистая,0
Очень вежливый водитель,0
Очень приятный в общении водитель [SEP]  Всем бы такого,0
Отклейка Яндекса [SEP]  Ехал не по навигатору пару раз заехали не туда из за этого ехали на полчаса больше чем могли бы,0
Вел себя как школьник какой то  [SEP]  Много сленга в речи бц это что за шняга [SEP]  обращался на ты,0
Отличный водитель,0
Водитель был в маске надел ее спустя пару минут после начала поездки  [SEP]  Из за отсутствия держателя для телефона постоянно держал его в левой руке из за чего возникали «неприятности» на дороге,0
Водитель два раза говорил по телефону,0
Хороший водитель,0
Общительный приятный водитель,0
Ошибочно нажала неприятный запах,0
Выражаю благодарность водителю за сервис,0
отличный водитель и машинка,0
Отличный водитель,0
Комфортная поездка,0
Ошибся номера на машине не видно,0
Очень приятный парень [SEP]  Вежливый и ещё судя по разговору он учится на ошибках поэтому обратная связь ему всегда важна,0
Да в целом все гуд,0
Водитель хороший разговоривает учтиво и пытается угодить [SEP]  Но водит дёргано а также приехал на совсем другой машине с другими номерами,1
Водитель не был пристёгнут во время поездки разговаривал по телефону а также открывал окно и на ходу одной рукой чистил от снега дворники,1
Марка модель и цвет соответствуют,0
У автомобиля плохо работают дворники это ухудшает обзор водителю,0
Очень доброжелательный и общительный водитель [SEP]  Указала плохой запах в машине случайно не туда кликнула [SEP]  Поездка на 5 из 5,0
Очень вежливый хороший водитель,0
Маску нужно носить правильно а не на подбородке,0
Номер е302но799 зелёная киа рио,0
Нет оклейки ГОСТ и шашечки,0
Все хорошо,0
Номер н625рт799,0
Была удивительно чистая машина [SEP]  Прям блестела,0
Прекрасный водитель,0
Поздновато закрыл заказ после моего напоминания в чате,0
Молчал и не поздоровался не попрощался,0
Буквы номера неверные верные буквы УСЕ,0
Приятное общение с водителем комфортная поездка,0
Водитель смотрел YouTube во времени поездки,1
Прекрасный водитель,0
Просил продиктовать адрес для его яндекс навигатора а потом поехал не туда и потеряли полчаса времени,0
Хороший водитель,0
Все хорошо,0
Зарядил телефон [SEP]  Все приятно,0
Все быстро и четко,0
На машине никакой атрибутики такси небыло,0
Водитель не пристегнут также эмоционально и нецензурно выражается по поводу ситуации на дороге,0
Поставил у себя некорректную точку в навигаторе и жаловался почему я указываю ему правильный путь,1
блин про запахи янаврал,0
Буквы номера не совпадают нвт,0
Пусть все водители будут такими же ненавязчивыми,0
Номер был другой к сожалению такой «в769не790» но спасибо водителю за то что торопился чтобы я успела на поезд у самого входа вокзала остановился,0
Водитель хороший и чистое авто ❤️,0
Приятный аккуратный вежливый водитель,0
Водитель изначально приехал по неправильному адресу и пришлось ждать его еще 10 минут,0
отвлекался на телефон,0
Водитель очень располагает к себе,0
Был недоволен что вышел не сразу из дома,0
очень медленно едет не пользуется выделенной полосой,1
Хороший водитель,0
Грязная машина такое только в эконом,0
Грязно в салоне,0
вежливый водитель,0
Комфортная поездка,0
Ехала девушка водитель вышел из машины снял демонстративно куртку а потом полдороги разговаривал по телефону на своем языке,1
Прекрасный водитель,0
Очень холодно в машине,1
Прекрасный водитель,0
Водила встал прямо на разделительной полосе посреди дороги и ждал там потому что не хотел разворачиваться к точке заказа [SEP]  Опыт посадки в такси посреди оживленной трассы незабываемый,1
Превосходный водитель 5,0
По ошибке указал что машина грязная,0
Вежливо общался сам написал где его искать даже подогрев в машине включил только для ножек чтобы они не замёрзли и душно не было,0
Все хорошо комфортно доехали,0
Брендирование Яндекс,0
Очень чистая машина [SEP]  Обклеена яндексом,0
Водитель завершил поездку за три минуты до адреса доставки но мы доехали [SEP] все нормально [SEP] видимо хотел убедиться об оплате поездки,0
Очень хороший водитель 5 звёзд,0
Любезно все манера вождения аккуратная салон чистый,0
Не пропустил скорую,0
Машина яндекса хороший плейлист,0
Отличный водитель,0
Все хорошо,0
Говорил по телефону часть пути,0
Водитель миниатюрная девушка [SEP]  Респект [SEP]  На голову выше всех среднестатистических водителей,0
бампер у машины не в цвет кузова [SEP]  Остальное все хорошо,0
Смутило то что номер не совпадает,0
Все отлично,0
Другой номер авто,0
Кузов целый без повреждений,0
часто отвлекался на телефон [SEP]  не пристегнулся,0
Все отлично приятный собеседник,0
Все отлично,0
1 я случайно нажала «да» на вопросе «в машине есть неприятный запах» [SEP]  Нет неприятного запаха 2 вроде бы водитель нормально ездит но так спешил в такую ужасную погоду что не смог вовремя остановиться и проехал поворот,0
Отличная машина отличный дружелюбный водитель поддерживает но не навязывает разговор ведет аккуратно образец таксиста,0
все по радовала,0
все хорошо,0
Предупредил заранее где остановился на точке посадки камера помог сесть пожилому человеку,0
Агрессивная манера вождения водитель пренебрегал правилами дорожного движения несколько раз спровоцировал аварийную ситуацию постоянно сигналил другим участникам движения,1
Буквы не совпадают [SEP]  Верные буквы нвт,0
Водитель огонь но с нами только потому что его заблокировал Яндекс из за дтп лёгкое повреждение бампера сегодня утром ,0
номера корректные [SEP]  я ошибся и случайно нажал,0
Высадил за 10 минут до конечной точки аргументировав это тем что во дворах застрявшая машина и много снега [SEP]  По факту никакой машины впереди не наблюдаю [SEP]  Большая просьба сделать так чтобы в нашем сервисе его не было очень холодно было идти,1
Отличный водитель,0
Все хорошо,0
Случайно отметила что машина грязная или повреждённая,0
Водитель отказался подвозить к подъезду хотя с этим не было никаких сложностей,0
Аккуратный водитель,0
Записывал голосовые во время поездки,1
Резко тормозил несколько раз возможно это связано с погодными условиями,1
ручка оторвана на машине [SEP]  левое пссажираское наружняя ручка,0
В салоне все же пахло Всю дорогу с кем то общался по вилео связи,0
вроде бы водитель ничего плохого не сделал но были вещи которые смущали 1 подпевал песни нам это было слышно 2 достал при нас что то из бардачка и рвал какие то бумаги,1
Очень вежливый,0
Хорошая и приятная поездка,0
Ошибся в ответе с запахом и повреждениями [SEP]  Там все ок,0
Вежливый водитель спокойный стиль езды 5 звезд,0
Машина яндекса,0
Закурил без предупреждения  [SEP]  Привёз сначала не туда,0
Номер Машины другой,0
Все ок,0
Показалось или нет что в салоне пахло сигаретами,0
Музыка в стиле «восток фм» не очень плюс в авто было холодно [SEP]  Попросила сделать потеплее Водитель что то включил но как будто неисправен обогреватель,0
В машине плохих запахов нет,0
Остальное все хорошо,0
Привёз не к той стороне дома пришлось обходить,0
Смутило как только я сел в такси увидел что водитель не пристегнут,0
Через чур навязчивый водитель,0
Очень вежливый и приятный водитель,0
Все хорошо,0
все ок,0
Не те буквы в номере а м правое боковое зеркало замотано скотчем,0
Нет все отлично,0
Смутил другой номер,1
Оч приятный и профессиональный водитель мое уважение,0
Очень добрый и хороший водитель все в общем хорошо₽,0
На протяжении всей поездки водитель записывал голосовые сообщения и прослушивал голосовые сообщения от своего собеседника [SEP]  Вообщем водитель был сосредоточен на своём телефоне а не на дороге,1
ворчал и ругался из за нечищенных дорог и камер а так ок,0
Спрятаны ремни безопасности,0
запах приемлемый,0
Все ок,0
Водитель очень вежливый,0
Быстро подал но геопозиция не корректно отображалась,0
Не уверена но вроде бы не работал ремень безопасности сзади справа,0
Странно что на автомобиле не было опознавательных знаков такси хотя номер и марка совпадали,0
Все хорошо поездка была очень комфортной в машине очень чисто,0
Постоянно говорил по телефону сигналил другим водителям такси и матерился,0
Все было супер,1
При посадке остановился на проезжей части а не у бардюра,0
Что авто другое,0
Все супер,0
В общем и целом все нормально но 1 водитель слушал голосовые сообщения при мне 2 созванивался с кем то по видеосвязи тоже при мне без наушников,0
Всю дорогу играла прям достаточно громко музыка Мне это не мешало в целом Но смутило что водитель не уточнил сделать ли тише и вообще мешает ли мне И музыка играла максимально на любителя И водитель на минут 5 7 раньше завершил поездку А так в целом все хорошо,0
Машина была брендирована как Яндекс такси а не Ситимобил,0
Водитель абсолютно не знает что такое тактичность,0
Все достойно,0
Все ок,0
Всю дорогу залипал в телефон был без маски [SEP]  Постоянно разговаривал по телефону в дороге,1
Вроде нормально вел но сзади укачало,1
Ваш водитель по телефону орал матом на свою девушку угрожал ей расправой и преследованиями это какой то,0
Забрал немного не там нажал что прибыл на место раньше врмени,0
Цвет машины не совпадал указан белый а был чёрный,1
Все ок кроме номеров [SEP]  Неприятного запаха в машине нет,0
Ничего особенного [SEP]  Все было в норме [SEP]  Спасибо,0
Только то что разговаривал по телефону во время поездки,0
Все хорошо,0
Аккуратный водитель [SEP]  Когда забирал остановился чуть раньше точки и переспросил об этом когда я садилась [SEP]  Когда подъезжали к месту назначения тоже уточнил место остановки было два варианта куда можно было свернуть оба привели бы к пункту назначения но только один с выбранной стороны,0
Номер все таки не совпадает отличаются буквы,1
Прекрасная поездка водитель и машина отличные,0
Случайно поставила что машина чистая [SEP]  Машина грязная,0
Хороший водитель вежливый,0
Отличный водитель,0
В целом доволен поездкой,1
Очень сильный запах в салоне,0
Замечаний нет,0
Во время движения водитель неоднократно говорил по телефону и обсуждал как возможно работать с двух аккаунтов,0
Ну это мягко говоря не комфорт,0
Все хорошо,1
Приятный разговор,0
Хороший водитель,0
Все чудесно,0
Водишь даёт поставить музычку,0
Хороший водитель,0
Всё хорошо,0
Машина чисто белого цвета без ГОСТ оклейки,0
встал далеко от места подачи,0
Надел маску в процессе поездки,0
Все замечательно,0
Все ок,0
Прекрасное общение,0
Водитель шикарный [SEP]  Весёлый ответственный и хорошо знает Москву,0
Невероятная сигаретная вонь в салоне ехать было возможно только с открытым окном,0
Все в порядке,0
все ок,0
Приятный и вежливый водитель,0
Ему бы город изучить и маршруты заезда в аэропорт,0
Я случайно отметила что зараз неприятный [SEP]  На самом деле все ок,0
Очень опасное вождение 120 на мкаде по скользкой дороге,1
Водитель обиженный жизнью вредный дядька [SEP]  В дорогу бухтел как ему тяжело живётся,0
Ужасный водитель,1
Отличный водитель,0
Подменный номер,0
Не помог открыть богажник,0
Вежливый и приветливый водитель,0
Водитель ехал вместо 3 минут 20 минут кружась вокруг,1
Водитель супер [SEP]  Очень приятный,0
Отличный водитель,0
Водитель указал что прибыл на место раньше чем приехал,0
Очень грязная машина,1
Такси было в оклейке Яндекса,0
Все было хорошо [SEP]  У машины есть небольшие повреждения склеенные монтажным скотчем,0
Машина не подходит под комфорт по состоянию и чистоте,0
Водитель был в маске все ок,0
Нас было трое и водитель не разрешил сесть на переднее сиденье хотя это комфорт,0
Машина в плохом техническом состоянии,0
Авто с очень большим пробегом и в салоне слышно как на каждой кочке стучит подвеска страшновато даже,0
Очень быстро разгоняется и не аккуратно водит,1
